Artikelnummer,Beschreibung,Farbe,EAN,VPE,Status
050250,florafol� Gitterfolie   2 x 50 m,transparent,4250574110254,20 Ro. pro Palette,1
050325,florafol® Gitterfolie   3 x 25 m,transparent,4250574110261,25 Ro. pro Palette,1
050425,florafol® Gitterfolie   4 x 25 m,transparent,4250574110278,25 Ro. pro Palette,1
051550,"florafol® Gitterfolie 1,5 x 50 m",transparent,4250574110285,20 Ro. pro Palette,1
211025G,"caretec® Sichtschutzgewebe 1,0 x 25 m",grün,4250574101351,Unknown,1
211050G,"caretec® Sichtschutzgewebe 1,0 x 50 m",grün,4250574101368,Unknown,2
211225G,"caretec® Sichtschutzgewebe 1,2 x 25 m",grün,4250574101375,Unknown,1
211250G,"caretec® Sichtschutzgewebe 1,2 x 50 m",grün,4250574101382,Unknown,1
211525G,"caretec® Sichtschutzgewebe 1,5 x 25 m",grün,4250574101399,Unknown,1
211550G,"caretec® Sichtschutzgewebe 1,5 x 50 m",grün,4250574101405,Unknown,1
211825G,"caretec® Sichtschutzgewebe 1,8 x 25 m",grün,4250574101412,Unknown,1
211850G,"caretec® Sichtschutzgewebe 1,8 x 50 m",grün,4250574101429,Unknown,1
212025G,"caretec® Sichtschutzgewebe 2,0 x 25 m",grün,4250574101436,Unknown,1
212050G,"caretec® Sichtschutzgewebe 2,0 x 50 m",grün,4250574101443,Unknown,1
213050G,"caretec® Sichtschutzgewebe 3,0 x 50 m",grün,4250574101450,Unknown,1
22050100,"florinotex®  0,50 x 100 m",schwarz,4250574102631,30 Ro. pro Palette,1
22075100,"florinotex®  0,75 x 100 m",schwarz,4250574101580,30 Ro. pro Palette,3
22075500,"florinotex®  0,75 x 500 m",schwarz,Unknown,8 Ro. pro Palette,3
22100100,"florinotex®  1,00 x 100 m",schwarz,4250574101511,30 Ro. pro Palette,1
22105100,"florinotex®  1,05 x 100 m",schwarz,4250574101528,30 Ro. pro Palette,2
22125100,"florinotex®  1,25 x 100 m",schwarz,4250574101610,25 Ro. pro Palette,1
22130100,"florinotex®  1,30 x 100 m",schwarz,4250574101627,25 Ro. pro Palette,3
22140100,"florinotex®  1,40 x 100 m",schwarz,4250574102563,25 Ro. pro Palette,1
22150100,"florinotex®  1,50 x 100 m",schwarz,4250574101634,25 Ro. pro Palette,2
22165100,"florinotex®  1,65 x 100 m",schwarz,4250574101641,25 Ro. pro Palette,1
22200100,"florinotex®  2,00 x 100 m",schwarz,4250574101535,25 Ro. pro Palette,2
22210100,"florinotex®  2,10 x 100 m",schwarz,4250574101658,25 Ro. pro Palette,1
22250100,"florinotex®  2,50 x 100 m",schwarz,4250574101665,25 Ro. pro Palette,1
4011,PolyTarp® 160  Bauzaunplane grün,grün,4250574101245,20 Stück pro Karton,1
4012,PolyTarp® 160  Bauzaunplane schwarz,schwarz,4250574109401,20 Stück pro Karton,1
4013,PolyTarp® 160  Bauzaunplane weiß,weiß,4250574101269,20 Stück pro Karton,1
4014,PolyTarp® 160  Bauzaunplane blau,blau,4250574110100,20 Stück pro Karton,3
410203,PolyTarp® 280  -  2 x 3 m,grün,4250574100040,17 Stück pro Karton,1
410304,PolyTarp® 280  -  3 x 4 m,grün,4250574100057,8 Stück pro Karton,1
410305,PolyTarp® 280  -  3 x 5 m,grün,4250574100064,6 Stück pro Karton,1
410306,PolyTarp® 280  -  3 x 6 m,grün,4250574100071,5 Stück pro Karton,1
410405,PolyTarp® 280  -  4 x 5 m,grün,4250574100095,5 Stück pro Karton,1
410406,PolyTarp® 280  -  4 x 6 m,grün,4250574100101,4 Stück pro Karton,1
410407,PolyTarp® 280  -  4 x 7 m,grün,4250574100118,3 Stück pro Karton,1
410408,PolyTarp® 280  -  4 x 8 m,grün,4250574100125,3 Stück pro Karton,1
410506,PolyTarp® 280  -  5 x 6 m,grün,4250574100132,3 Stück pro Karton,1
410507,PolyTarp® 280  -  5 x 7 m,grün,4250574100149,2 Stück pro Karton,1
410508,PolyTarp® 280  -  5 x 8 m,grün,4250574100156,2 Stück pro Karton,1
410608,PolyTarp® 280  -  6 x 8 m,grün,4250574100170,2 Stück pro Karton,1
410610,PolyTarp® 280  -  6 x 10 m,grün,4250574100187,1 Stück pro Karton,1
410612,PolyTarp® 280  -  6 x 12 m,grün,4250574101900,1 Stück pro Karton,1
410810,PolyTarp® 280  -  8 x 10 m,grün,4250574100194,1 Stück pro Karton,1
410812,PolyTarp® 280  -  8 x 12 m,grün,4250574100200,1 Stück pro Karton,1
410815,PolyTarp® 280  -  8 x 15 m,grün,4250574100217,1 Stück pro Karton,1
411010,PolyTarp® 280  -  10 x 10 m,grün,4250574101917,1 Stück pro Karton,1
411012,PolyTarp® 280  -  10 x 12 m,grün,4250574100224,1 Stück pro Karton,1
411015,PolyTarp® 280  -  10 x 15 m,grün,4250574100231,1 Stück pro Karton,1
413506,"PolyTarp® 280  -  3,5 x 6 m",grün,4250574100248,4 Stück pro Karton,1
420203,PolyTarp® 650  -  2 x 3 m,grün,4250574100262,7 Stück pro Ballen,1
420304,PolyTarp® 650  -  3 x 4 m,grün,4250574100286,3 Stück pro Ballen,1
420305,PolyTarp® 650  -  3 x 5 m,grün,4250574100293,3 Stück pro Ballen,1
420306,PolyTarp® 650  -  3 x 6 m,grün,4250574100309,2 Stück pro Ballen,1
420355,"PolyTarp® 650  -  3 x 5,5 m",grün,4250574100323,2 Stück pro Ballen,1
420405,PolyTarp® 650  -  4 x 5 m,grün,4250574100330,2 Stück pro Ballen,1
420406,PolyTarp® 650  -  4 x 6 m,grün,4250574100347,1 Stück pro Ballen,1
420407,PolyTarp® 650  -  4 x 7 m,grün,4250574100354,1 Stück pro Ballen,1
420408,PolyTarp® 650  -  4 x 8 m,grün,4250574100361,1 Stück pro Ballen,1
420506,PolyTarp® 650  -  5 x 6 m,grün,4250574100378,1 Stück pro Ballen,1
420507,PolyTarp® 650  -  5 x 7 m,grün,4250574100385,1 Stück pro Ballen,1
